repo_url,pr_number,commit
https://www.github.com/apache/dubbo-admin.git,383,919d3fa02d459a50a8ded7aabc74f7c913ad57e2
https://www.github.com/apache/dubbo-admin.git,383,88892af2ecacee032fdd8365e84a077a8bb10c42
https://www.github.com/apache/bigtop.git,537,f4b2654b748ba46fd0d81e627bee5fc10dffb1f6
https://www.github.com/apache/bigtop.git,537,2aa9faca6a69e7d3790830437c513683957f880a
https://www.github.com/apache/bigtop.git,537,a4d0d340336829b3d2518b6477865d7d10416075
https://www.github.com/apache/bigtop.git,537,22bfb941bf33b23439e628c1c6eeddc4b0a4c145
https://www.github.com/apache/bigtop.git,531,697fb2ff4776d768086330082d8f97bc150a8e69
https://www.github.com/apache/bigtop.git,531,dca14e750b32803b1c45676c787b9ca95ca93946
https://www.github.com/apache/bigtop.git,527,d7c56f6d195cdfb1cfe5a7a2fae903b93bf99492
https://www.github.com/apache/bigtop.git,527,350daf8a900e8b2f9898c7ca7c101614ded02fb2
https://www.github.com/apache/bigtop.git,522,38b3fd29ce625bbf7701313751b38abe3054715f
https://www.github.com/apache/bigtop.git,522,b3f6d33f6e708d26066e4df2aa9818405caf3f58
https://www.github.com/apache/bigtop.git,522,99e6a97b9bc0442532b318be249da32687853f1d
https://www.github.com/apache/bigtop.git,505,7f8595730884b31f9b31c1f675b5dca8c0993713
https://www.github.com/apache/bigtop.git,505,a5d0d4180c10014bdbca225bf7fb4a726067cee7
https://www.github.com/apache/bigtop.git,501,29408a9943af9189ecce8d3bf5c022476936c1c4
https://www.github.com/apache/bigtop.git,501,5a53caeed3eb55d9b13329a4d16e9643eb02c960
https://www.github.com/apache/bigtop.git,486,a8d750c55f6096b0a4da8c964709dadc896c596f
https://www.github.com/apache/bigtop.git,486,650e4abb906ceb27fdf1525a4058102703ca0ee5
https://www.github.com/apache/bigtop.git,486,7cc9654029d0c79d056123c6ac437c8c94e41708
https://www.github.com/apache/bigtop.git,482,e1b6141c3d3403a10978b4238fdbf856e09de4c8
https://www.github.com/apache/bigtop.git,482,7da203ef21a7318baf791e420242753f6e205ace
https://www.github.com/apache/bigtop.git,482,23828e13ed7ec053d72f2a4065abb30feafe3f85
https://www.github.com/apache/bigtop.git,442,66e8ea0c1beb41de8057edac258854433aaec139
https://www.github.com/apache/bigtop.git,442,51680af3f9ba6166357c06fda82814e349784403
https://www.github.com/apache/bigtop.git,442,6a91e88fa6e9837fad0fc48feefc6a5f2bce8c3b
https://www.github.com/apache/bigtop.git,442,19750c6189dbf7abdd861c85c9d1de4a45de002d
https://www.github.com/apache/incubator-datasketches-memory.git,37,c536d4d28f178b61cfbde9b20fb27cc83608978c
https://www.github.com/apache/incubator-datasketches-memory.git,37,511bdc075a1dcb91cde6fbeb936d95b1d79c4728
https://www.github.com/apache/incubator-datasketches-memory.git,37,e56f1920dd221cae3b5c8a471422c14e515b1028
https://www.github.com/apache/incubator-datasketches-memory.git,6,17842ac221f169ce01de5b80d03f0c27ba267600
https://www.github.com/apache/incubator-datasketches-memory.git,6,926347ba8dbdf4df200916d0115afc554c5baff2
https://www.github.com/apache/incubator-datasketches-memory.git,6,fb7a2482d8d294d0e2086fd6380091e76425e6c5
https://www.github.com/apache/incubator-datasketches-memory.git,5,17842ac221f169ce01de5b80d03f0c27ba267600
https://www.github.com/apache/incubator-datasketches-memory.git,5,926347ba8dbdf4df200916d0115afc554c5baff2
https://www.github.com/apache/struts.git,350,68044e741bf2566c96c876265ce99f9a851f96f7
https://www.github.com/apache/struts.git,350,3d025c47fa4b32a1cd1d12e9cb43e8f55a947d7d
https://www.github.com/apache/struts.git,347,7d6c9456d60cdde0c42c15fdd22b4714b2fc7f57
https://www.github.com/apache/struts.git,347,1368081624c394e7f829cc09f70559a7f3a1488b
https://www.github.com/apache/struts.git,297,4835edb3ded85e371cb8bfccd7f15d14e6bf54b0
https://www.github.com/apache/struts.git,297,a27100b8234f898916765c72ba50377644f2098a
https://www.github.com/apache/struts.git,297,9e66f2577df4791ddd22bc5e01991f78fd51c06e
https://www.github.com/apache/struts.git,297,f754d097867d788db449d5640d0b0888139ac2d1
https://www.github.com/apache/struts.git,269,65e4adb95e1f861b12a19e4354815a6b048d4ab6
https://www.github.com/apache/struts.git,269,b4c2c012d8cba8f5ede1fa482ae1e35f2b8f0772
https://www.github.com/apache/struts.git,269,db035222cc36c83075ea9975947058f282072cc0
https://www.github.com/apache/struts.git,269,0f27d1b01d4f70ff8b048900b2d0def28d368ec9
https://www.github.com/apache/struts.git,269,5fed044d994194954ba7099a27ee68d1e7bbb600
https://www.github.com/apache/struts.git,267,b12f25495f0e740cc18df858a1135357daca94d7
https://www.github.com/apache/struts.git,267,345c3d1a544d43b6245d967510a914d9b1e58b77
https://www.github.com/apache/struts.git,257,d3505e6139bbc519139be0892dc687e199c0a16a
https://www.github.com/apache/struts.git,257,c7a1ea97267e8b6e777c20cbce1e0a45156d477d
https://www.github.com/apache/struts.git,167,d41bd50a6ef5ddc14dd0502fd9cd36dff09e9e6c
https://www.github.com/apache/struts.git,167,50a0a72e9d4bcf96bdcb6e1d9adaefa8c11f19e8
